url,id,user,text,coordinates,place,source,location
https://www.strava.com/athletes/6150628,1059021419718295552,stambrona,Esto marcha!!! 1 mes para @maratonvalencia https://t.co/IZbM0JY54P #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",
https://www.strava.com/athletes/13741259,1059021006151532544,JamieMoss1980,"went for a 8.0 mile Run. https://t.co/SFbYn91aSm #strava
This run saw me pass 1000 miles for 2018",,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Wiltshire
https://www.strava.com/athletes/1141941,1059005788558102528,Ianmontee,went for a 10.1 mile Run. https://t.co/BZCFfS8UZg #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Skeagh Banbridge
https://www.strava.com/athletes/20671021,1059004790888255489,PARC_box,日陰走るの寒い。 ／19.0 キロメートル のライドに出かけました。 https://t.co/w2PgUHBOMY #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",福岡県 大牟田市
https://www.strava.com/athletes/29671711,1059004186728132608,xMAKISHIx,15.7 キロメートル のランニングに出かけました。 https://t.co/ANgzUPkPjK #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",北海道札幌市や戦場や二次元にいます
https://www.strava.com/athletes/17303340,1059001387982348290,shinobu30,82.2 キロメートル のライドに出かけました。 https://t.co/XpJeTRTcak #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",大分
https://www.strava.com/athletes/699189,1058982374048915456,thirdman,went for a 149.0 kilometer road ride. https://t.co/6PVNLfeQOK #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",西五反田パンダ保護研究センター
https://www.strava.com/athletes/9836694,1058977316087316480,MardiGras3,39.6 キロメートル のライドに出かけました。 https://t.co/WfssrWY4c7 #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",
https://www.strava.com/athletes/12158721,1058977200869859328,hitinman,went for a 103.0 kilometer road ride. https://t.co/XoMl5dzwWM #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Sydney
https://www.strava.com/athletes/20094778,1058961804087316480,aki_tanab1970,89.1 キロメートル のライドに出かけました。 https://t.co/R6dsnQIBDt #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",茨城県牛久市⇔常総市
https://www.strava.com/athletes/14286342,1058958140396363777,tomi5829_765,"観音山トレーニング3周！秋はサイクリング日和が多くて最高(^_-)-☆
それしにても、疲れたｗｗｗ
帰ったらお昼寝しよっ...むんっ！

52.0 キロメートル のライドに出かけました。 https://t.co/PPavsTN0CI #strava",,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",秘境！高崎市(ちょっとだけ🇹🇭)
https://www.strava.com/athletes/1685169,1058947116259655680,kkzst,実走だと何してもダメですな。 https://t.co/G2hOKnskdA #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",
